off_long,off_lat,pop_up
116.503,39.891,4
116.505,40.038,2
116.506,40.01,4
116.507,39.675,1
116.507,39.862,6
116.507,39.866,2
116.507,39.868,5
116.507,39.891,3
116.507,40.208,3
116.508,39.906,2
116.508,39.915,3
116.509,39.331,1
116.509,39.906,5
116.509,39.938,1
116.51,40.0,2
116.512,39.939,4
116.513,39.857,2
116.513,39.891,9
116.515,39.782,2
116.516,40.04,1
116.518,39.776,4
116.519,39.854,7
116.519,39.94,15
116.521,39.999,13
116.523,39.341,1
116.524,39.915,2
116.524,39.997,1
116.525,39.907,6
116.525,39.991,2
116.526,39.94,6
116.526,40.038,5
116.528,39.915,11
116.529,39.84,2
116.536,39.934,1
116.537,39.868,7
116.537,39.924,1
116.537,39.939,6
116.538,39.939,7
116.539,39.668,3
116.539,39.739,5
116.539,39.746,9
116.539,39.753,3
116.539,39.914,7
116.54,39.758,3
116.541,39.914,3
116.541,39.944,7
116.541,39.952,10
116.541,39.955,1
116.541,39.958,2
116.544,39.84,1
116.545,39.736,2
116.545,39.833,4
116.546,39.907,2
116.546,39.908,6
